====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   m   m   m   m   m   m   m   m   m   m   x   x   x   y   y   y   y   r   r   p   p   p   n   r   e   e   s   
         60.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         70.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         80.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
         90.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        100.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        110.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        120.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        130.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        140.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        150.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        160.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        170.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        180.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        181.8 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        190.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        200.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        210.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        220.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        230.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        240.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        241.9 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        250.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        260.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        261.8 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        270.0 | 0   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        280.0 | 1   0   0   1   1   0   0   1   1   0   0   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        290.0 | 0   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        300.0 | 1   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        310.0 | 0   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        320.0 | 1   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        330.0 | 0   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        340.0 | 1   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        350.0 | 0   0   0   1   1   0   0   1   1   0   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        350.2 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        360.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        370.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        380.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        381.8 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        390.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        400.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        410.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        420.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        430.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        440.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        441.9 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        450.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        460.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   1   0   0   0  
        461.8 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        470.0 | 0   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        480.0 | 1   0   0   1   1   0   0   1   1   1   1   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        490.0 | 0   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        500.0 | 1   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        510.0 | 0   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        520.0 | 1   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        530.0 | 0   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        540.0 | 1   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        550.0 | 0   0   0   1   1   0   0   1   1   1   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        550.2 | 0   0   0   1   1   0   0   1   1   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        550.8 | 0   0   0   1   1   0   0   0   1   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        551.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        560.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        570.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        580.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        581.8 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        582.6 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        590.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        600.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        602.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        610.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        620.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        630.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        640.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        650.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        660.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        670.0 | 0   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        680.0 | 1   0   0   1   1   0   0   0   0   0   1   1   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        690.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        700.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        710.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        720.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   1  
        730.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        740.0 | 1   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        750.0 | 0   0   0   1   1   0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        750.2 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        760.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        770.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        780.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        781.8 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        782.6 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        790.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        800.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   1   0   0  
        802.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        810.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        820.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        830.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        840.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        850.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        860.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        870.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        880.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        890.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        900.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        910.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        920.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        930.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        940.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        950.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        960.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        970.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        980.0 | 1   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        990.0 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
        999.9 | 0   0   0   1   1   0   0   0   0   1   0   0   1   1   0   1   0   1   0   0   1   0   1   1   0   0   0   0   0  
====================================================================================================================================
 time         | r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | o   o   o   o   o   o   o   o   o   o   o 
              | m   m   m   m   m   m   m   m   m   m   m 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | a   a   a   a   a   a   a   d   d   d   d 
              | d   d   d   d   d   d   d   a   a   a   a 
              | d   d   d   d   d   d   d   t   t   t   t 
              | r   r   r   r   r   r   r   a   a   a   a 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   6   6   6   6   6   6   3   3   3   3 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 0   0   0   0   0   0   0   0   0   0   0 
              | _   _   _   _   _   _   _   _   _   _   _ 
              | 6   5   4   3   2   1   0   3   2   1   0 
====================================================================================================================================
          0.0 | 0   1   1   0   1   0   1   1   0   0   0
          0.0 | 0   1   1   0   1   0   1   1   0   0   0
         10.0 | 0   1   1   0   1   0   1   1   0   0   0
         20.0 | 0   1   1   0   1   0   1   1   0   0   0
         30.0 | 0   1   1   0   1   0   1   1   0   0   0
         40.0 | 0   1   1   0   1   0   1   1   0   0   0
         50.0 | 0   1   1   0   1   0   1   1   0   0   0
         60.0 | 0   1   1   0   1   0   1   1   0   0   0
         70.0 | 0   1   1   0   1   0   1   1   0   0   0
         80.0 | 0   1   1   0   1   0   1   1   0   0   0
         90.0 | 0   1   1   0   1   0   1   1   0   0   0
        100.0 | 0   1   1   0   1   0   1   1   0   0   0
        110.0 | 0   1   1   0   1   0   1   1   0   0   0
        120.0 | 0   1   1   0   1   0   1   1   0   0   0
        130.0 | 0   1   1   0   1   0   1   1   0   0   0
        140.0 | 0   1   1   0   1   0   1   1   0   0   0
        150.0 | 0   1   1   0   1   0   1   1   0   0   0
        160.0 | 0   1   1   0   1   0   1   1   0   0   0
        170.0 | 0   1   1   0   1   0   1   1   0   0   0
        180.0 | 0   1   1   0   1   0   1   1   0   0   0
        181.8 | 0   1   1   0   1   0   1   1   0   0   0
        190.0 | 0   1   1   0   1   0   1   1   0   0   0
        200.0 | 0   1   1   0   1   0   1   1   0   0   0
        210.0 | 0   1   1   0   1   0   1   1   0   0   0
        220.0 | 0   1   1   0   1   0   1   1   0   0   0
        230.0 | 0   1   1   0   1   0   1   1   0   0   0
        240.0 | 0   1   1   0   1   0   1   1   0   0   0
        241.9 | 0   1   1   0   1   0   1   1   0   0   0
        250.0 | 0   1   1   0   1   0   1   1   0   0   0
        260.0 | 0   1   1   0   1   0   1   1   0   0   0
        261.8 | 0   1   1   0   1   0   1   1   0   0   0
        270.0 | 0   1   1   0   1   0   1   1   0   0   0
        280.0 | 0   1   1   0   1   0   1   1   0   0   0
        290.0 | 0   1   1   0   1   1   0   1   0   0   0
        300.0 | 0   1   1   0   1   1   0   1   0   0   0
        310.0 | 0   1   1   0   1   1   0   1   0   0   0
        320.0 | 0   1   1   0   1   1   0   1   0   0   0
        330.0 | 0   1   1   0   1   1   0   1   0   0   0
        340.0 | 0   1   1   0   1   1   0   1   0   0   0
        350.0 | 0   1   1   0   1   1   0   1   0   0   1
        350.2 | 0   1   1   0   1   1   0   1   0   0   1
        360.0 | 0   1   1   0   1   1   0   1   0   0   1
        370.0 | 0   1   1   0   1   1   0   1   0   0   1
        380.0 | 0   1   1   0   1   1   0   1   0   0   1
        381.8 | 0   1   1   0   1   1   0   1   0   0   1
        390.0 | 0   1   1   0   1   1   0   1   0   0   1
        400.0 | 0   1   1   0   1   1   0   1   0   0   1
        410.0 | 0   1   1   0   1   1   0   1   0   0   1
        420.0 | 0   1   1   0   1   1   0   1   0   0   1
        430.0 | 0   1   1   0   1   1   0   1   0   0   1
        440.0 | 0   1   1   0   1   1   0   1   0   0   1
        441.9 | 0   1   1   0   1   1   0   1   0   0   1
        450.0 | 0   1   1   0   1   1   0   1   0   0   1
        460.0 | 0   1   1   0   1   1   0   1   0   0   1
        461.8 | 0   1   1   0   1   1   0   1   0   0   1
        470.0 | 0   1   1   0   1   1   0   1   0   0   1
        480.0 | 0   1   1   0   1   1   0   1   0   0   1
        490.0 | 0   1   1   0   1   1   1   1   0   0   1
        500.0 | 0   1   1   0   1   1   1   1   0   0   1
        510.0 | 0   1   1   0   1   1   1   1   0   0   1
        520.0 | 0   1   1   0   1   1   1   1   0   0   1
        530.0 | 0   1   1   0   1   1   1   1   0   0   1
        540.0 | 0   1   1   0   1   1   1   1   0   0   1
        550.0 | 0   1   1   0   1   1   1   1   0   1   0
        550.2 | 0   1   1   0   1   1   1   1   0   1   0
        550.8 | 0   1   1   0   1   1   1   1   0   1   0
        551.0 | 0   1   1   0   1   1   1   1   0   1   0
        560.0 | 0   1   1   0   1   1   1   1   0   1   0
        570.0 | 0   1   1   0   1   1   1   1   0   1   0
        580.0 | 0   1   1   0   1   1   1   1   0   1   0
        581.8 | 0   1   1   0   1   1   1   1   0   1   0
        582.6 | 0   1   1   0   1   1   1   1   0   1   0
        590.0 | 0   1   1   0   1   1   1   1   0   1   0
        600.0 | 0   1   1   0   1   1   1   1   0   1   0
        602.0 | 0   1   1   0   1   1   1   1   0   1   0
        610.0 | 0   1   1   0   1   1   1   1   0   1   0
        620.0 | 0   1   1   0   1   1   1   1   0   1   0
        630.0 | 0   1   1   0   1   1   1   1   0   1   0
        640.0 | 0   1   1   0   1   1   1   1   0   1   0
        650.0 | 0   1   1   0   1   1   1   1   0   1   0
        660.0 | 0   1   1   0   1   1   1   1   0   1   0
        670.0 | 0   1   1   0   1   1   1   1   0   1   0
        680.0 | 0   1   1   0   1   1   1   1   0   1   0
        690.0 | 0   1   1   0   1   0   0   1   0   1   0
        700.0 | 0   1   1   0   1   0   0   1   0   1   0
        710.0 | 0   1   1   0   1   0   0   1   0   1   0
        720.0 | 0   1   1   0   1   0   0   1   0   1   0
        730.0 | 0   1   1   0   1   0   0   1   0   1   0
        740.0 | 0   1   1   0   1   0   0   1   0   1   0
        750.0 | 0   1   1   0   1   0   0   1   0   1   1
        750.2 | 0   1   1   0   1   0   0   1   0   1   1
        760.0 | 0   1   1   0   1   0   0   1   0   1   1
        770.0 | 0   1   1   0   1   0   0   1   0   1   1
        780.0 | 0   1   1   0   1   0   0   1   0   1   1
        781.8 | 0   1   1   0   1   0   0   1   0   1   1
        782.6 | 0   1   1   0   1   0   0   1   0   1   1
        790.0 | 0   1   1   0   1   0   0   1   0   1   1
        800.0 | 0   1   1   0   1   0   0   1   0   1   1
        802.0 | 0   1   1   0   1   0   0   1   0   1   1
        810.0 | 0   1   1   0   1   0   0   1   0   1   1
        820.0 | 0   1   1   0   1   0   0   1   0   1   1
        830.0 | 0   1   1   0   1   0   0   1   0   1   1
        840.0 | 0   1   1   0   1   0   0   1   0   1   1
        850.0 | 0   1   1   0   1   0   0   1   0   1   1
        860.0 | 0   1   1   0   1   0   0   1   0   1   1
        870.0 | 0   1   1   0   1   0   0   1   0   1   1
        880.0 | 0   1   1   0   1   0   0   1   0   1   1
        890.0 | 0   1   1   0   1   0   0   1   0   1   1
        900.0 | 0   1   1   0   1   0   0   1   0   1   1
        910.0 | 0   1   1   0   1   0   0   1   0   1   1
        920.0 | 0   1   1   0   1   0   0   1   0   1   1
        930.0 | 0   1   1   0   1   0   0   1   0   1   1
        940.0 | 0   1   1   0   1   0   0   1   0   1   1
        950.0 | 0   1   1   0   1   0   0   1   0   1   1
        960.0 | 0   1   1   0   1   0   0   1   0   1   1
        970.0 | 0   1   1   0   1   0   0   1   0   1   1
        980.0 | 0   1   1   0   1   0   0   1   0   1   1
        990.0 | 0   1   1   0   1   0   0   1   0   1   1
        999.9 | 0   1   1   0   1   0   0   1   0   1   1
====================================================================================================================================
  network : Piece_lut                                                                                                  nodes : 222  
====================================================================================================================================
