================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   i   i   i   i   i   i   o   o   o   o   o   o   r 
 in 1e-09 sec | l   s   n   n   n   n   n   n   u   u   u   u   u   u   a 
              | k   t   v   v   v   v   v   v   t   t   t   t   t   t   n 
              |         _   _   _   _   _   _   p   p   p   p   p   p   d 
              |         i   i   i   i   i   i   u   u   u   u   u   u   o 
              |         n   n   n   n   n   n   t   t   t   t   t   t   m 
              |         p   p   p   p   p   p   _   _   _   _   _   _   _ 
              |         u   u   u   u   u   u   5   5   5   5   5   5   s 
              |         t   t   t   t   t   t   _   _   _   _   _   _   e 
              |         s   s   s   s   s   s   0   0   0   0   0   0   e 
              |         _   _   _   _   _   _   _   _   _   _   _   _   d 
              |         5   5   5   5   5   5   5   4   3   2   1   0     
              |         _   _   _   _   _   _                             
              |         0   0   0   0   0   0                             
              |         _   _   _   _   _   _                             
              |         5   4   3   2   1   0                             
================================================================================
     226300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     226980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     227980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     228980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     229980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     230980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     231980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232380.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232400.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232420.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232440.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232460.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232480.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232500.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232520.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232540.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232560.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232580.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232600.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232620.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232640.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232660.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232680.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232700.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232720.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232740.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232760.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232780.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232800.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232820.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232840.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232860.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232880.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232900.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232920.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232940.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232960.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     232980.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233000.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233020.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233040.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233060.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233080.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233100.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233120.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233140.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233160.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233180.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233200.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233220.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233240.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233260.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233280.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233300.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233320.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233340.0 | 0   0   0   0   0   0   0   0   1   1   1   1   1   1   1
     233360.0 | 1   0   0   0   0   0   0   0   1   1   1   1   1   1   1
