====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
        483.7 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        485.8 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        560.0 | 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        640.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        644.2 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
        644.5 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
        720.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
        730.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
        800.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
        880.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
        960.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1040.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1050.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1120.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1200.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1280.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1360.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1440.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
       1441.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0  
       1520.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0  
       1600.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       1601.2 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1603.0 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       1603.2 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       1605.3 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
       1605.7 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1605.9 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1606.8 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1680.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1760.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1840.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       1920.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2000.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2080.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2160.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2240.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2320.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2400.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       2480.0 | 0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       2560.0 | 1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2561.8 | 1   0   0   0   0   1   0   1   0   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2562.3 | 1   0   0   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       2562.7 | 1   0   0   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       2563.2 | 1   0   0   0   0   1   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       2563.3 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       2564.2 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       2640.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       2720.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       2800.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       2880.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       2960.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3040.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3120.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3200.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3280.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3360.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
       3440.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
       3520.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       3522.4 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       3524.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       3524.9 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3525.3 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3600.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3680.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3760.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3840.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       3920.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       4000.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       4080.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       4160.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       4240.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       4320.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       4322.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
       4322.9 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4323.5 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4323.6 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4326.1 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4400.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4480.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4480.9 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4483.3 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4483.5 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4487.9 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4560.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4640.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4642.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       4720.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       4800.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       4802.4 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       4803.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       4880.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       4960.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       5040.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       5120.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       5200.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       5280.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
       5360.0 | 0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0  
       5440.0 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       5442.9 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       5445.4 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5448.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5520.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5600.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5680.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5760.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5840.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       5920.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       6000.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       6080.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
       6160.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0  
       6240.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0  
       6242.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       6320.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       6400.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       6403.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0  
       6403.5 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6480.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6560.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6640.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6720.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6800.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6880.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       6960.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       7040.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       7120.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0  
       7200.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0  
       7203.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0  
       7203.6 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7280.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7360.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7362.6 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
       7362.7 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0  
       7362.8 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7364.3 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7364.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7440.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7520.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7522.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7523.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7524.7 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7525.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7600.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7680.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7683.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7683.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7684.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7685.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7760.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7840.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7843.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7844.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       7920.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8000.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8003.3 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8003.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8006.1 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8006.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8080.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8160.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8161.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8163.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8164.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8165.2 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8240.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8320.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8323.4 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8324.8 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8400.0 | 0   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8480.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8483.3 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
       8483.9 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0  
